"id","track_id","artist_popularity","genres","name","followers"
"6UCQYrcJ6wab6gnQ89OJFh","0G1GIn5gGoe5iLHvVC5FM0","64.0","['uk hip hop']","Headie One","45705.0"
"52PzHxiafWqb4ow1mMp5Ga","2VxItoS2Zw3hytTbVkle85","18.0","[]","Radio Chorus","7.0"
"2kwaccOo07oL6joEC5Kc2X","5XLjIFOigk5R4oc9UUuG8M","44.0","[]","Favored Nations","10614.0"
"4FZ3j1oH43e7cukCALsCwf","0xifWW42VYaKL2kTJ7b07X","60.0","['alternative rock', 'blues-rock', 'garage rock', 'modern blues rock', 'modern rock', 'punk blues', 'rock']","Jack White","879811.0"
"1Oa0bMld0A3u5OTYfMzp5h","4WimB4Ei0LU3MotHhL3kBL","78.0","['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'west coast rap']","Nate Dogg","601461.0"
"42tlZWSz1V6Rsqds29GcRo","2uxlRPdp91TiSqFv2hJjK0","54.0","['electro house']","Tommie Sunshine","11034.0"
"5kQGFREO5FzMBMsAO3cEtj","3nhJpxZXEQTsZwrDUihXQf","62.0","['bow pop', 'celtic punk', 'celtic rock', 'punk', 'skate punk']","Flogging Molly","398150.0"
"70nxnxEqDQIEWneRjg2Q4O","6UGYIgkzeLp4BQy30B9svV","64.0","['latin', 'salsa', 'tropical']","Adolescent's Orquesta","157193.0"
"2qSEpijpT3YSXgxcXac1ly","3XrsoncZ8zmz26ANscvE4S","61.0","[]","Chris Willis","10499.0"
"7fOsYKtUW8t7EVXpohPmSv","62Fd14OydHEsZ2aVRrH0P1","4.0","[]","CRABE","17.0"
"1YZhNFBxkEB5UKTgMDvot4","5lfPf7e5TSTP7YZdg0ZPuw","61.0","['classical', 'classical performance', 'classical piano']","Lang Lang","88760.0"
"0tbHuJYa8HQ73L5bPoa2uJ","0TgWRdgtXfYuwDgBToFZIN","24.0","[]","Concerto Armonico Budapest","31.0"
